web_name,team_name,position,now_cost,predicted_points,total_points,form,points_per_game,minutes
M.Salah,Liverpool,Midfielder,13.6,342.52614274964736,344,0.0,9.1,3374
Mbeumo,Brentford,Midfielder,8.3,236.0025516204845,236,0.0,6.2,3415
Wood,Nott'm Forest,Forward,7.2,199.1704309429761,200,0.0,5.6,2958
Bowen,West Ham,Midfielder,7.9,193.82962567879989,193,0.0,5.7,2974
Wissa,Brentford,Forward,6.9,185.13786973069125,185,0.0,5.3,2921
Luis Díaz,Liverpool,Midfielder,7.5,182.1789425369336,183,0.0,5.1,2393
Cunha,Wolves,Forward,7.0,180.3395074891401,178,0.0,5.4,2596
J.Murphy,Newcastle,Midfielder,5.2,158.18782964857374,159,0.0,4.5,2356
Pickford,Everton,Goalkeeper,5.2,156.5332148412085,158,0.0,4.2,3420
Sels,Nott'm Forest,Goalkeeper,5.2,154.41035381509354,150,0.0,3.9,3420
Gvardiol,Man City,Defender,6.5,153.26743519882308,153,0.0,4.1,3278
Milenković,Nott'm Forest,Defender,5.2,147.8787164610882,145,0.0,3.9,3330
Muñoz,Crystal Palace,Defender,5.2,140.38933639998788,142,0.0,3.8,3229
Collins,Brentford,Defender,4.6,126.97595901518778,127,0.0,3.3,3420
Mykolenko,Everton,Defender,4.4,121.92690814536446,121,0.0,3.5,3082
